板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
主板,江苏农华智慧农业科技股份有限公司,000816,智慧农业,1997-08-18,C 制造业
主板,航锦科技股份有限公司,000818,航锦科技,1997-10-17,C 制造业
主板,岳阳兴长石化股份有限公司,000819,岳阳兴长,1997-06-25,C 制造业
主板,神雾节能股份有限公司,000820,*ST节能,1998-06-30,C 制造业
主板,湖北京山轻工机械股份有限公司,000821,京山轻机,1998-06-26,C 制造业
主板,山东海化股份有限公司,000822,山东海化,1998-07-03,C 制造业
主板,广东汕头超声电子股份有限公司,000823,超声电子,1997-10-08,C 制造业
主板,山西太钢不锈钢股份有限公司,000825,太钢不锈,1998-10-21,C 制造业
主板,启迪环境科技发展股份有限公司,000826,启迪环境,1998-02-25,N 公共环保
主板,东莞发展控股股份有限公司,000828,东莞控股,1997-06-17,G 运输仓储
主板,天音通信控股股份有限公司,000829,天音控股,1997-12-02,F 批发零售
主板,鲁西化工集团股份有限公司,000830,鲁西化工,1998-08-07,C 制造业
主板,五矿稀土股份有限公司,000831,五矿稀土,1998-09-11,C 制造业
主板,广西粤桂广业控股股份有限公司,000833,粤桂股份,1998-11-11,S 综合
主板,长城国际动漫游戏股份有限公司,000835,*ST长动,1999-06-25,I 信息技术
主板,天津富通信息科技股份有限公司,000836,富通信息,1997-09-29,C 制造业
主板,秦川机床工具集团股份公司,000837,*ST秦机,1998-09-28,C 制造业
主板,财信地产发展集团股份有限公司,000838,财信发展,1997-06-26,K 房地产
